pictogram_label,pictogram_file,pictogram_category,pictogram_metadata
Endormir bébé,endormir_bebe,13.7.0;2.9.0;18.10.0,dodo;enfant;soir;nuit;se reposer;berceuse;comptine;bercer;fatigue
,enfance_en_danger,2.24.0,violence
Enfant,enfant,12.1.0;12.2.0;18.0.0,enfant;bébé;jeune;fille;garçon
Enfant mange seul,enfant_qui_mange_seul,1.4.0;18.1.0,enfant;manger seul;se nourrir;cuillère;fourchette;autonomie
Enfant regarde TV,enfant_qui_regarde_la_television,17.0.0;13.7.0;18.9.0,télévision;enfant;écran
Enfant qui vomit,enfant_qui_vomit,2.8.0,
Enfant témoin de violence,enfant_temoin_de_violence,2.24.0,violence
Enfants au pays,enfants_restees_au_pays,15.1.0,enfants restés au pays;migrant;immigré;émigré;famille;parents
Entend bien,entendre_bien,2.13.0;2.30.0,entendre;écoute;oreille;son;entend bien;bonne audition;auditive
Entend mal,entendre_mal,2.13.0;2.30.0,entendre;écoute;oreille;son;entend mal;mauvaise audition;acouphène;auditive
Eosine,eosine,2.1.0,éosine;flacon;rouge;désinfecter
Épicerie sociale,epicerie_sociale,14.3.0;15.4.0;1.3.0,première nécessité;aide;se nourrir;aliment;sans papier;demandeur d'asile;sans domicile fixe;SDF
Escalier,escalier,13.3.0;7.1.2;13.3.0,escalier;marches
Eté,ete,13.4.0,saison;été;calendrier;vacances
Éteindre la lumière,eteindre_la_lumiere,13.7.0;2.9.0;18.10.0,lumière;chambre;veilleuse;éteindre;noir
Europe,europe,13.1.0,Europe;UE;continent;territoire;pays;origine
Euros,euros,10.0.0;13.3.6;15.5.0;15.4.0;13.3.0,finance;monnaie;euros;devises;argent;payer;mode de paiement;billets;pièces;liquide;euros;cash
Évier,evier,13.3.3;2.2.0;13.3.0,évier;boire;se laver
Faire le ménage,faire_le_menage,13.7.0;5.1.0;7.1.3;7.5.0,ménage;nettoyage;propreté;activité domestique;aspirateur;produits ménagers
Faire ses courses,faire_ses_courses,13.7.0;5.1.0,courses;activité domestique;produits alimentaires;caddie
Famille nucléaire,famille,12.2.0,tante;oncle;grand père;grand mère;grand parent;cousin;cousine;beau père;belle mère;famille;famille élargie;famille adoptive;famille monoparentale;famille recomposée;parent;individu;personne;famille nucléaire;plusieurs parents
Famille adoptive,famille_adoptive,12.2.0,famille adoptive;parents adoptifs;mère adoptive;père adoptif;famille;enfant placé;orphelin;père;mère;parent;individu;personne;enfant
Famille élargie,famille_elargie,12.2.0,tante;oncle;grand père;grand mère;grand parent;cousin;cousine;beau père;belle mère;famille;famille élargie;parent;individu;enfant;personne;plusieurs parents
Famille monoparentale,famille_monoparentale,12.2.0,un seul parent;père;mère;famille;famille monoparentale;parent;individu;personne;enfant
Famille recomposée,famille_recomposee,12.2.0,beau-père;belle-mère;famille recomposée;famille;nouvel union;père;mère;parent;individu;personne;enfant
Famille au pays,famille_restee_au_pays,15.1.0,famille;père;éloignée;migrant;demandeur d'asile;expatrié;immigré;émigré;mère;parent;individu;personne;enfant;famille restée au pays
Fatigue,fatigue_mentale,2.10.0;13.2.0;12.3.0,fatigue;émotion;état;repos;sentiment
Fatigue,fatigue_physique,2.10.0;13.2.0;12.3.0,émotion;mental;état;psychologie;sentiment;fatigue;épuisement
Fauteuil roulant éléctrique,fauteuil_roulant_electrique,19.3.0;20.3.0;13.3.9;13.3.0,fauteuil roulant;fauteuil roulant électrique
Fauteuil roulant manuel,fauteuil_roulant_manuel,19.3.0;20.3.0;13.3.9;13.3.0,fauteuil roulant;fauteuil roulant manuel
Femme adulte,femme_adulte,12.1.0;12.2.0;16.0.0,femme;adulte;fille;féminin;sexe;genre
Personne âgée Femme,femme_agee,12.1.0;12.2.0;16.0.0;20.0.0,femme;agée;retraitée;féminin;sexe;genre;vieille
Grossesse,femme_enceinte,2.22.0;16.4.0;16.1.0;2.23.0;2.17.0;12.1.0,corps;femme;enceinte
Fenêtre ouverte,fenetre_ouverte,7.1.2;18.9.0;2.29.0,fenêtre;aérer;air;respirer;danger
Fermeture éclair,fermeture_eclair,13.3.8,fermeture;fermer;blouson;jean;veste;zip;sac
Fiche de paie,fiche_de_paie,3.2.0;15.3.0,fiche de salaire;paye;fiche de paie;argent;salaire
Flacon vide,flacon_vide,13.3.6;13.3.0,flacon;vide;fiolle;bouteille;hygiène
Forme des selles,forme_des_selles,2.8.0,selles;forme des selles;caca;texture
Forum réfugiés,forum_refugies,15.3.0;14.2.0,immigrant;migrant;immigré;immigration;exil;s'enfuir;passeur;fuir ; sans papier;demandeur d'asile;réfugié
Fourchette,fourchette,13.3.0;7.1.2;1.9.0;19.1.0;20.2.0,fourchette;couverts;manger;repas
Fraise,fraise,1.1.0,fraise;fruit
Fréquence lavage cheveux,frequence_cheveux,2.2.0;13.8.0,hygiène;soins;bains;se laver;fréquence
Fréquence consultation,frequence_de_consultation_medecin,13.8.0;2.19.0,consultation médicale;fréquence;rendez-vous;médecin
Fréquence hygiène,frequence_douche,2.2.0;13.8.0,hygiène;soins;bains;se laver;fréquence
Fréquence sexualité,frequence_rapports_sexuels,2.21.0,rapport sexuel;sexualité;faire l'amour
Fréquence d'utilisation écrans,frequence_utilisation_écran,17.0.0,télévision;écran;fréquence utilisation
Fréquence d'utilisation TV,frequence_utilisation_television,17.0.0,télévision;écran;fréquence utilisation
Frites,frites,1.5.0,frites;pomme de terre;gras
Fromage,fromage,1.5.0;1.2.0,fromage;laitage
Fromage de chèvre,fromage_de_chevre,1.5.0;1.2.0,fromage;chèvre;intolérance ;
Fromage de vache,fromage_de_vache,1.5.0;1.2.0,fromage;laitage;vache;gruyère
Fruits à coque,fruits_a_coque,1.1.0,coque;fruits à coques;noix;noisette;amande
Mode de garde,garde_par_un_proche,7.2.0;18.3.0;12.2.0,nounou;garder;enfants;surveiller;grands parents;proches;parents
Gigoteuse,gigoteuse,18.8.0;2.16.0;2.9.0,pyjama;gigoteuse
Goût bouche,gout_bouche,2.14.0,bouche;manger;palet;goût;langue
Goût visage,gout_visage,2.14.0,bouche;manger;goût;partie;zone;visage
Grossesse désirée 2,grossesse_desiree_emotions,2.22.0;16.4.0;16.1.0;2.23.0;13.2.0,Grossesse désirée;enceinte
,grossesse_desiree_test,2.22.0;16.4.0;16.1.0;2.23.0;13.2.0,Grossesse désirée;enceinte;test de grossesse
Grossesse non désirée,grossesse_non_desiree,2.22.0;16.4.0;16.1.0;2.23.0;13.2.0,Grossesse non désirée;enceinte
Grossesse non désirée 2,grossesse_non_desiree_test,2.22.0;16.4.0;16.1.0;2.23.0;13.2.0,Grossesse non désirée;enceinte;test de grossesse
Guêpe,guepe,13.9.0,insecte;piqûre;guêpe
Guerre,guerre,2.24.0;15.2.0,guerre;conflit;violence
Gynécologue,gynecologue,2.19.0;16.4.0;16.1.0;2.22.0;2.23.0,gynécologue;médecin;suivi;hopital
Habite en caravane,habite_caravane,7.1.1;7.1.5;15.8.0,tente;habitat;logement;maison;abri
Aveugle,handicap_physique_aveugle,2.17.0;2.27.0;12.1.0,handicap;yeux;oeil;aveugle;vue;perte;déficience visuel
Handicap en fauteuil,handicap_physique_fauteuil,2.17.0;2.27.0;12.1.0,handicap;psychique;mental;tête 
Handicap Manque un membre,handicap_physique_manque_un_membre,2.17.0;2.27.0;12.1.0,handicap;corporel;membre absent;amputé
Harnais bébé,harnais_problemes_hanches_bebe,18.4.0;2.25.0,transporter;enfant;hanche;bassin
Haut du corps femme,haut_du_corps_femme,2.17.0,femme;haut du corps;poitrine;épaules;fille;bras;ventre
Haut du corps homme,haut_du_corps_homme,2.17.0,homme;garçon;haut du corps;pectoraux;épaules;bras;ventre
Hauteur du lit,hauteur_du_lit,7.1.2;18.10.0;2.9.0,lit;hauteur;taille;dimensions;petit;grand;couchage
Hébergement précaire/temporaire,hebergement_precaire_temporaire,7.1.1;15.8.0,hébergement;abris;tente;maison;toit;précaire;temporaire;accueil
Hiver,hiver,13.4.0,saison;hiver;calendrier;noël
Homme adulte,homme_adulte,12.1.0;12.2.0,homme;adulte;garçon;masculin;sexe;genre
Personne âgée Homme,homme_age,12.1.0;12.2.020.0.0,homme;agé;retraité;masculin;sexe;genre;vieux
Hôpital,hopital,14.1.0;2.19.0,Hôpital;clinique;centre hospitalier
Hospitalisé à domicile,hospitalise_domicile,2.23.0,ambulatoire;malade;opération chirurgicale;perfusion;lit médical;infirmière
Hospitalisé à l'hôpital,hospitalise_hopital,16.1.0;2.23.0,malade;opéré;opération chirurgicale;accouchement;problème de santé;AVC;arrêt cardiaque;jambe cassée;bras cassée;chûte;médecin;infirmière;perfusion
Habite à l'hôtel,hotel,7.1.1;7.1.5;15.8.0;15.5.0,logement;nuitée;nuit;habiter
Humidité,humidite,2.5.0;13.9.0;7.1.3,Logement;insalubrité
Implant contraceptif,implant_contraceptif,2.21.0,contraception;moyen de contraception;implant contraceptif
Individu,individus,12.1.0;12.2.0,homme;femme;enfant;nourisson;bébé;personne âgée;vieille;vieux;adolescent
Infirmier,infirmier,14.1.0;2.19.0;12.3.0;12.1.0,infirmière;soin;pansement;piqûre;seringue;toilettes;à domicile;santé;infirmier;médical
Infirmier,infirmier_2,14.1.0;2.19.0;12.3.0;12.1.0,infirmière;soin;pansement;piqûre;seringue;toilettes;à domicile;santé;infirmier;médical
Insalubrité électricité,insalubrite_electrique,15.8.0;7.1.3;7.1.4,Logement;insalubrité;électricité
Insomnie,insomnie,2.9.0,insomnie;ne pas dormir
Dispute,insultes,2.24.0;15.2.0,violence;insulte;dispute;cri
J'ai rendez-vous,j_ai_rdv,6.1.0,rendez-vous;horaire;agenda;planning;rencontre;recevoir;reçu
Jambes femme,jambes_femme,2.17.0,femme;fille;jambes;cuisses;mollets;genoux;marcher
Jambes homme,jambes_homme,2.17.0,homme;garçon;jambes;cuisses;mollets;genoux;marcher
Jardiner,jardiner,8.1.0;13.7.0,nature;légumes;fruits;cultiver;terre;se nourrir;manger
Je souhaite un rendez-vous,je_desire_un_rdv,6.1.0,rendez-vous;horaire;agenda;planning;rencontre;recevoir;reçu
Jeu d'assemblage,jeu_d_assemblage,13.3.1;2.25.0;8.1.0,jeu d'assemblage;enfant;emboiter;préhension
Jeux,jeux_addiction,2.3.0, jeu vidéo;game
Jeux enfant 18/36 mois,jeux_dix_huit_mois_a_trois_ans,2.25.0;8.1.0;13.3.1;13.3.0,loisirs;jeux;activités;jeux 18 - 36 mois;bébé;enfant
Jeux nourisson,jeux_naissance_a_trois_mois,2.25.0;8.1.0;13.3.1;13.3.0,loisirs;jeux;activités;jeux naissance;bébé;nourrisson
Jeux bébé 9 18 mois,jeux_neuf_a_dix_huit_mois,2.25.0;8.1.0;13.3.1;13.3.0,loisirs;jeux;activités;jeux 9-18 mois;bébé
Jeux bébé 3 6 mois,jeux_trois_a_neuf_mois,2.25.0;8.1.0;13.3.1;13.3.0,loisirs;jeux;activités;jeux 3-9 mois;bébé
Jeux 3 ans et plus,jeux_trois_ans_et_plus,2.25.0;8.1.0;13.3.1;13.3.0,loisirs;jeux;activités;jeux plus de 3 ans ; enfant
Jouer aux cartes,jouer_aux_cartes,8.1.0,jeu;s'amuser;cartes à jouer;bataille;belote;coinche
Jouer aux jeux de société,jouer_jeux_societe,8.1.0;2.25.0,jeu;ensemble;s'amuser;monopoly;trivial pursuit;puissance 4;mastermind;quizz
Jouet voiture bébé,jouet_voiture_bebe,13.3.1;2.25.0;8.1.0;13.3.0,jouet;jeux;loisir;ludique;enfant;bébé;motricité
Jours anglais,jours_de_la_semaine_en_anglais,13.6.0,semaine;jours;week-end;hebdomadaire ; anglais
Jours français,jours_de_la_semaine_en_francais,13.6.0;13.8.0,semaine;jours;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;week-end;hebdomadaire
Justificatif de logement,justificatif_de_logement,15.3.0;3.6.0,Justificatif de logement;justificatif de domicile;attestation de logement;attestation de domicile;facture de gaz;facture d'électricité;facture d'eau;facture de téléphone
Facture Eau,justificatif_de_logement_eau,3.6.0;15.3.0,eau;logement;papier;justificatif;adresse;facture
Facture Téléphone,justificatif_de_logement_telephone,15.3.0;3.6.0,téléphone;facture;portable;justificatif;logement;adresse
Kinésithérapeute,kinesitherapeuthe,14.1.0;2.19.0;12.3.0,kinésithérapeute;massage;médecin
Aimer manger,la_personne_aime_t_elle_manger,1.9.0;13.6.0;17.0.0;18.1.0,repas;manger;aimer;glouton;obèse
Manger suffisament,la_personne_mange_t_elle_sufisament,1.9.0;13.6.0;17.0.0,repas;manger;quantité
Laboratoire d'analyse,laboratoire_d_analyse_medicale,14.1.0;2.19.0,Laboratoire d'analyse;Analyse médicale;Laboratoire
Lait,lait,1.7.0;1.2.0,lait;laitage;lactose
Lait d'avoine,lait_avoine,1.7.0;1.2.0;1.8.0,lait;laitage;lait végétal;avoine;lait d'avoine;allergie;intolérance;lactose
Lait de coco,lait_coco,1.7.0;1.2.0,lait;laitage;lait végétal;coco;lait de coco;noix de coco;allergie;intolérance;lactose
Lait d'amande,lait_d_amande,1.7.0;1.2.0,lait;laitage;lait végétal;amande;allergie;intolérance;lactose
Lait de soja,lait_de_soja,1.7.0;1.2.0,lait;laitage;lait végétal;soja;lait de soja;allergie;intolérance;lactose
Lait de vache,lait_de_vache,1.2.0,lait;laitage;lait de vache;vache;lactose
Lait de vache ou lait de chèvre,lait_de_vache_ou_chevre,1.7.0;1.2.0,lait;laitage;lait de vache;lait de chèvre;lactose
Lait en poudre,lait_poudre,1.7.0;1.2.0;18.1.0,lait en poudre;préparation pour nourisson;poudre;biberon
Lait végétal,lait_vegetal,1.7.0;1.2.0,lait;laitage;lait végétal;végétal;allergie;intolérance;lactose
Landeau,landeau,13.3.1;18.5.0;2.9.0;13.3.0,cosy;landau;transport : voiture;siège auto;poussette;bébé
Bonjour autres langues,langue_parlee,13.1.0;13.6.0,langue;échanger;traduction;discuter;pays;communiquer
Se laver le bas du corps,laver_bas_corps,2.2.0;13.7.0,hygiène;nettoyer;propre;savon;shampoing;cheveux;douche;baignoire;lavabo
Se laver le haut du corps,laver_haut_corps,2.2.0;2.17.0;13.7.0,hygiène;nettoyer;propre;savon;gant;shampoing;cheveux;douche;baignoire;lavabo
Laver son linge,laver_son_linge,13.7.0;5.1.0;7.5.0,laver son linge;activité domestique; faire sa lessive;machine à laver;lave-linge;vêtements;propres
Lecture,lecture,13.7.0;8.1.0;18.10.0;2.25.0,lecture;livre;magazine;roman;lire
Restos du coeur,les_restaurants_du_coeur,14.3.0;15.4.0;1.3.0,première nécessité;aide;association;coluche;repas;manger;se nourrir;sans papier;demandeur d'asile;sans domicile fixe;SDF
Médicament levure,levure_medicament,2.1.0,médicament;levure;sachet;dissoudre;verre d'eau
Ligature des trompes,ligature_des_trompes,2.21.0,contraception;pas d'enfant;opération chirurgicale;femme;sexualité
Lingettes,lingettes,2.2.0;13.3.0;13.3.3,hygiène;bébé;nettoyer;humide;lingette;couche;toilette
Lit bébé à grillage,lit_bebe_grillage_barreaux,2.29.0;13.3.1;2.9.0;18.9.0,dormir;couchage;enfant;grille;matelas;sommier;sieste
Lit bébé pas encombré ,lit_bebe_pas_encombre,18.9.0;18.10.0;2.9.0;17.0.0;2.29.0;18.9.0,dormir;couchage;enfant;sieste
Lit double,lit_double,13.3.0;7.1.2;2.9.0;13.3.4,lit double;dormir;allonger;coucher;sommeil;couple
Lit simple,lit_simple,13.3.0;7.1.2;18.10.0;2.9.0;13.3.4,lit simple;dormir;allonger;coucher;sommeil; enfant
Livret de famille,livret_de_famille,3.3.0;15.3.0;12.2.0,livret de famille;document;papier;famille;enfants;mariage;divorce;papier administratif;pièce administrative
Locataire,locataire,7.1.1;3.6.0;15.5.0,locataire;louer;logement;maison;habitat;clés
Travaux du logement,logement_en_travaux,7.1.5;7.1.3;2.2.0;13.7.0,Logement en travaux
Logement encombré,logement_encombre,7.1.5;13.3.3;2.2.0,maison;immeuble;cartons;bazar;bordel;entassé;entasser;ranger;habiter;lieu de vie
Logement propre,logement_propre,13.3.6;7.1.5,maison;logement;nettoyage;ménage;rangement;propreté;sain
Logement rangé,logement_range,7.1.5,maison;immeuble;ranger;habiter;lieu de vie;propre
Logement sale,logement_sale,7.1.5;13.3.3;2.2.0,maison;logement;nettoyage;ménage;saleté;bazard;rangement
Ludothèque,ludotheque,8.2.0,loisirs;activités;enfants;lieux;sortie ;livre;lecture;ludothèque;jeux;bibliothèque
Lunettes,lunettes_pas_de_lunettes,2.13.0,lunettes;vue
Mains,mains,2.17.0;2.14.0;2.13.0,mains;doigts;toucher
Mairie,mairie,14.5.0,Mairie;Hôtel de Ville : Préfecture
Maïs,mais,1.8.0,maïs;féculents
Maison de la Métropole de Lyon,metropole_de_lyon,4.1.0;14.7.0;4.1.0;15.5.0;19.2.0;20.1.0,MDM;maison de la métropole;PMI;MDMPH;démarche;aide;Métropole;Lyon
MJC,maison_des_jeunes_et_de_la_culture_mjc,20.0.0,MJC;maison des jeunes et de la culture
maman,maman,12.1.0;12.2.0;16.0.0;18.0.0,mère;parent;femme
Mandat SEPA,mandat_sepa,15.5.0;3.2.0;10.0.0,argent;payer;mode de paiement;mandat;RIB;SEPA; banque
Mandat SEPA,mandat_sepa_2,15.5.0;3.2.0;10.0.0,argent;payer;mode de paiement;mandat;RIB;SEPA; banque
Manette console de jeux,manette_de_console,13.3.0;7.1.2;8.1.0;13.3.5,jouer;vidéo;play;écran;playstation;xbox;jeu électronique;console;game;gamer;ordinateur
Manger mal,manger_salement_proprement,2.2.0,manger mal;se salir : manger salement
Mariage,mariage,12.2.0,divorce;amour;couple;se marier;PACS;union;famille;enfant;mairie;femme;mari;conjoint;conjointe;épouse;époux
Matelas,matelas,13.3.0;7.1.2;18.10.0;13.3.4,dormir;chambre à coucher;s'allonger;sieste
Matelas pas trop souple,matelas_pas_trop_souple,2.9.0,matelas;bébé;chambre bébé;souple;lit;dormir;couchage;sommeil;sommier
Matin après-midi soir,matin_apresm_soir,13.8.0,journée;période;quand;horaire
Médecin,medecin,14.1.0;2.19.0;12.3.0,médecin;hopital 
Médecins du monde,medecins_du_monde,14.1.0;2.19.0;15.5.0;15.6.0,aide humanitaire;médecin;médicament;première nécessité;migrant;sans papier;demandeur d'asile;secours;guerre;conflit;migrant;exil
Médiathèque,mediatheque,20.0.0,loisirs;activités;enfants;lieux;sortie ;livre;lecture;médiathèque;musique;vidéo;bibliothèque
Médiathèque,mediatheque,20.0.0,loisir;livres;bibliothèque;vidéothèque;lecteur;lire;emprunter;consulter;bibliothécaire;documentaliste;catalogue
Médicament soluble,medicament_soluble,2.1.0,médicament;verre d'eau;avaler;soluble;se dissout
Médicaments,medicaments,2.1.0,médicaments;soigner;pilules
Melon,melon,1.1.0,melon;fruit
Ménopause,menopause,16.3.0;2.20.0,vieillesse;femme;menstruation;règles;bouffées de chaleur;hormones;cycle féminin
Mère et bébé,mere_bebe,12.1.0;12.2.0;16.0.0;18.0.0,maternité;enceinte;accoucher;attachement;maternel
Métier intellectuel,metier_intellectuel,"7,3,0;12.3.0",métier;profession;cadre;ingénieur;emploi;travail
Métier manuel,metier_manuel,"7,3,0;12.3.0",métier;profession;ouvrier;emploi;travail
Métro,metro,7.4.013.3.7;13.3.0,transport;collectif;se déplacer;trajet;voyager;souterrain;tunnel;rame;tcl;ratp
Métropole de Lyon,metropole_de_lyon,4.1.0;14.7.0;4.1.0;15.5.0;19.2.0;20.1.0,métropole;Lyon;collectivité;mairie
Mettre du collyre,mettre_collyre,2.13.0,yeux secs : lentilles de contact;sérum physiologique;lunettes;vue
Mettre la table,mettre_la_table,13.3.0;18.1.0;19.1.0;20.2.0;1.3.0;5.2.0,dresser;mettre la table;couvert;manger;repas
Arrivé en barque,migrant_barque,15.2.0;13.7.0;8.1.0,immigrant;migrant;immigré;immigration;exil;s'enfuir;passeur;fuir ; sans papier;demandeur d'asile;réfugié;rame;gilet de sauvetage;mer;frontière;couler;se noyer
Arrivé à la nage,migrant_nage,15.2.0;13.7.0;8.1.0,immigrant;migrant;immigré;immigration;exil;s'enfuir;passeur;fuir ; sans papier;demandeur d'asile;réfugié;nager;mer;gilet de sauvetage;couler;se noyer
Arrivé en zodiac,migrant_zodiac,15.2.0;13.7.0;8.1.0,immigrant;migrant;immigré;immigration;exil;s'enfuir;passeur;fuir ; sans papier;demandeur d'asile;réfugié;bâteau;barque;mer;gilet de sauvetage;frontière;couler;se noyer
Moto,moto,7.4.0;15.2.0;13.3.7;13.3.0,Moto;scooter;mobylette;deux roues
Mots du quotidien,mots_de_quotidien,2.25.0;13.7.0;2.25.0;18.7.0,mots quotidien;s'exprimer;mots simples
Mouchoirs,mouchoirs,2.2.0;13.3.0;13.3.0,mouchoirs;kleneex : se moucher;nez qui coule;hygiène;essuyer
Moustique,moustique,13.9.0;2.5.0,moustique;moustique tigre;piqûre
Mouton,mouton_brebis,1.6.0,mouton;animal
Maladies sexuellement transmissibles,mst,2.21.0,sexualité;contaception;maladie sexuellement transmissible;infection sexuellement transmissible;rapports sexuels;risque;hygiène;sida;hiv;vih;hépatite;papillomavirus;cancer col de l'utérus;syphillis
Ne parle pas,ne_parle_pas,13.7.0;2.25.0;18.7.0,muet;sourd;aphone;non verbal;phrase;parler;s'exprimer;discours;dialogue;son;verbe;mots;communiquer;discuter
Ne pas,ne_pas,13.6.0,refus;négatif;interdit;non;refuser;prohibé;ne pas
Lit bébé encombré ,ne_pas_encombrer_lit_bebe,18.9.0;18.10.0;2.9.0;17.0.0;2.29.0;18.9.0,dormir;couchage;enfant;sieste;bazar;dangereux
Neige,neige,13.5.0,temps;météo;neige; froid;hiver;montagne;gel;glace;glacé
Nez,nez,2.17.0;2.14.0;2.13.0,nez ; narines;odeur;odorat;se moucher
Nez,nez_sur_visage,2.17.0;2.14.0;2.13.0,visage;odorat;sentir
Noix de coco,noix_de_coco,1.1.0,noix de coco;fruit
Non,non,13.6.0,non;négatif;refus;s'exprimer
Nourisson,nourisson,12.1.0;12.2.0;18.0.0,bébé;nourrison
Nuage,nuageux,13.5.0,temps;météo;nuage
Océanie,oceanie,13.1.0,continent;territoire;pays;origine;océanie
Odorat,odorat_nez,2.14.0,odorat;nez;odeur;sentir;visage;sens;partie;zone;visage;narines
Odorat,odorat_visage,2.14.0,odorat;nez;odeur;sentir;visage;sens;partie;zone;visage
Œuf,oeuf,1.6.0,oeufs;protéines;poule
Ombre,ombre,17.0.0;18.9.0;2.29.0,soleil;noir;sombre;froid;projeter
Ongles,ongles,2.17.0,ongle;manucure;ongles
Orage,orage,13.5.0,temps;météo;orage;éclair;tonnerre
Orange,orange,1.1.0,orange;fruit
Ordinateur,ordinateur,2.3.0;13.3.5;17.0.0;13.3.0,Ordinateur;numérique;portable;informatique
Oreilles,oreilles,2.17.0;2.14.0;2.13.0,oreilles;écoute;ouîe;entendre;son;écouter
Orthophoniste,orthophoniste,14.1.0;2.19.0;12.3.0,orthophoniste;médecin;language;parler;prononcer;dys;bégailler;béguaillement
Os brisé,os_et_os_brise,2.17.0;2.6.0,os brisé;cassé;fracture;plâtre
Oui,oui,13.6.0,oui;positif;validation;s'exprimer
Ouïe oreille,ouie_oreille,2.14.0,oreilles;écoute;ouîe;entendre;son;écouter;lobe 
Ouïe visage,ouie_visage,2.14.0,oreilles;écoute;ouîe;entendre;son;écouter; visage;droite;gauche;partie;zone;visage
Ouvrir un contenant,ouvrir_un_contenant,13.7.0;5.1.0,ouvrir une boîte;enlever le couvercle;tupperware;bouteille
PACS,pacs,12.2.0,divorce;amour;couple;se marier;PACS;union;famille;enfant;mairie;femme;mari;conjoint;conjointe;épouse;époux
Pansement,pansement,2.5.0;13.3.6;2.1.0;13.3.0,pansements;bobo;blessure;saignement
Parc pour enfants,parc_jardin_pour_enfants,18.2.0;8.2.0;2.25.0,loisirs;jeux extérieur;activités;parc de jeux;jardin;enfants;lieux;balançoire;toboggan;sortie 
Parler,parler,13.7.0;2.25.0;18.7.0,parle;parler;dire des mots;prononcer
Pas content,pas_content,2.10.0;13.2.0;12.3.0,émotion;mécontent;insatisfait; pas content;malheureux
Pas d'écran,pas_d_ecrans,2.29.0,écran;téléphone;lumière;TV;portable;ordinateur;tablette;enfant;yeux;fatigue;lunettes
Pas de bonbon,pas_de_bonbon,17.0.0;1.5.0;18.9.0,pas de sucette;ne pas donner la sucette 
Pas de bonbon,pas_de_bonbon_2,18.9.0;2.29.0,confiserie;prévention;carie;dents;sucre;manger;goûter;gourmandise
Pas de tabac,pas_de_cigarette,2.3.0;17.0.0,ne pas fumer;pas de tabac
Pas de contraception,pas_de_contraception,2.21.0,pas de contraception
Chips,pas_de_nourriture_grasse,1.5.0,gâteau apéritif
Sans papier,pas_de_papier_officiel,12.1.0;12.2.0;15.1.0,sans papier;demandeur d'asile;migrant;étranger;immigré
Soda,pas_de_soda,1.7.0;1.5.0,coca cola;pepsi cola;orangina;schweppes;boisson sucrée;boisson gazeuze;sucre
Viennoiserie,pas_de_sucre,1.5.0,dessert;petit-déjeuner;croissant;pain au chocolat;brioche;chou;chocolatine
Pas de tétine,pas_de_tetine,17.0.0;2.28.0;18.9.0,pas de sucette;ne pas donner la sucette
Pas de trotteur,pas_de_trotteur,17.0.0;18.9.0,trotteur;pied;debout;jambes;marcher;se déplacer;déplacement;bébé;enfant 
Passeport,passeport,3.3.0;15.3.0,passeport;nationalité;pays;document;étranger;immigré;papier administratif;pièce administrative
Pastèque,pasteque,1.1.0,pastèque;fruit
Patate douce,patate_douce,1.1.0,patate douce;féculents
Pâtes,pates,1.8.0,pâtes;féculents
Pédiatre,pediatre,14.1.0;2.19.0;12.3.0,pédiatre;médecin enfant;médical
Peigne et brosse,peigne_et_brosse,2.2.0;13.3.0;13.3.0,peigne;brosse à cheveux;coiffer;hygiène;cheveux
Peluche,peluche,2.25.0;8.1.0;13.3.1;13.3.0,peluche;doudou;bébé;enfant;objet transitionnel
Péridurale,peridurale,16.1.0;2.23.0,péridurale;accouchement;douleur;piqûre
Péridurale Femme enceinte,peridurale_femme_enceinte,16.1.0;2.23.0,accoucher;enceinte;péridurale;grossesse;sage-femme;bébé;naissance;piqûre;seringue;douleur
Périmètre cranien bébé,perimetre_cranien_bebe,18.4.0;18.6.0;2.17.0,tête;enfant;circonférence;mesure;santé
Périmètre de marche,perimetre_de_marche,13.7.0;20.4.0;19.4.0;5.1.0,marcher;se promener;déambuler;sortir dehors;bouger;s'aérer;personne âgée;handicap
Personne précaire,personne_en_situation_de_grande_precarite,12.1.0;12.2.0;15.1.0,personne précaire;situation;instable;emploi;santé;logement;sécurité
Sans papier 2,personne_sans_papier,12.1.0;12.2.0;15.1.0,sans papier;demandeur d'asile;migrant;étranger;immigré
Personnes âgées,personnes_agees,12.1.0;12.2.0;20.0.0,vieux;personne âgée;vieillesse;papi;mamie;grands-parents
Petit pot bébé,petit_pot_bebe,1.4.0;18.1.0,purée ; compote ; petit pot;pot
Petits frères des pauvres,petits_freres_des_pauvres,14.3.0;15.4.0;1.3.0,première nécessité;aide;association;vếtements;manger;se nourrir;demandeur d'asile;sans papier;sans domicile fixe;SDF;migrant
Petits pois,petits_pois,1.1.0,petit pois;légumes
Peur,peur_anxiete,2.10.0;13.2.0;12.3.0,émotion;mental;état;psychologie;sentiment;peur;anxiété;effrayé;stressé;sueur
Pieds femme,pieds_femme,2.17.0,femme;fille;pieds;orteils;talons;plante;marcher;cheville
Pieds homme,pieds_homme,2.17.0,homme;garçon;pieds;orteils;talons;plante;marcher;cheville
Pilule,pilule,2.21.0,pilule;contraception;pilule contraceptive;moyen de contraception
Pilulier,pilulier,13.3.1;20.5.0;2.1.0;13.3.0,médicament;vieux;traitement;médical;personne âgée;maladie;malade
Pipette médicament,pipette_doseur,2.1.0;13.3.1;13.3.0,pipette;médicament
